#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
27.652	358	27.678	725
27.702	354	27.728	724
27.754	365	27.779	718
27.804	377	27.829	705
27.855	393	27.881	682
27.905	415	27.931	655
27.956	435	27.982	629
28.006	460	28.032	597
28.058	481	28.083	563
28.108	504	28.133	534
28.159	521	28.185	508
28.209	536	28.235	486
28.260	546	28.286	469
28.311	551	28.336	458
28.362	550	28.387	456
28.412	543	28.438	460
28.463	534	28.489	474
28.513	518	28.539	491
28.565	496	28.590	511
28.615	476	28.640	542
28.666	452	28.692	571
28.716	429	28.742	602
28.767	405	28.793	631
28.817	387	28.843	657
28.869	369	28.894	683
28.919	355	28.944	702
28.970	355	28.996	713
29.020	348	29.046	720
29.071	354	29.097	719
29.122	367	29.147	711
29.173	383	29.198	698
29.223	400	29.249	678
29.274	424	29.300	651
29.324	447	29.350	624
29.376	471	29.401	596
29.426	494	29.451	566
29.477	515	29.503	538
29.527	531	29.553	511
29.578	545	29.604	492
29.628	551	29.654	473
29.680	557	29.705	465
29.730	553	29.755	462
29.781	544	29.807	466
29.831	529	29.857	476
29.882	513	29.908	492
29.933	490	29.958	519
29.984	465	30.009	545
30.034	441	30.060	572
30.085	417	30.111	602
30.135	395	30.161	630
30.187	373	30.212	657
30.237	361	30.262	677
30.288	353	30.314	697
30.338	346	30.364	708
30.389	348	30.415	713
30.440	356	30.465	711
30.491	368	30.516	703
30.541	386	30.566	689
